GROSS STATE DOMESTIC PRODUCT AT CONSTANT (2011-12) PRICES; BASE YEAR 2011-12,,,,,,,,,,,,,,,,,,,,,,,,
,As on 15.03.2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GSDP - CONSTANT PRICES (in Crores),,,,,,,,,,,,(% Growth over previous year),,,,,,,,,,
S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
(1),(2),(3),(4),(5),(6),(7),(8'),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
27,Uttar Pradesh,724050,758205,802070,834432,908241,1011500,1056399,1097353,1140712,1077534,1181361,NA,4.72,5.79,4.03,8.85,11.37,4.44,3.88,3.95,-5.54,9.64,NA
28,Uttarakhand,115328,123710,134182,141278,152699,167703,180956,186083,189740,178764,193412,207104,7.27,8.47,5.29,8.08,9.83,7.90,2.83,1.97,-5.79,8.19,7.08
29,West Bengal,520485,542191,558535,574364,609545,653416,694981,738920,761901,711235,787758,854023,4.17,3.01,2.83,6.13,7.20,6.36,6.32,3.11,-6.65,10.76,8.41
30,Andaman & Nicobar Islands,3978,4156,4488,4742,5092,5752,6464,6867,7266,6978,NA,NA,4.48,7.99,5.64,7.39,12.96,12.39,6.23,5.81,-3.95,NA,NA
31,Chandigarh,18768,20285,22105,22870,24932,26917,28480,29866,31093,27460,29861,NA,8.08,8.97,3.46,9.02,7.96,5.80,4.87,4.11,-11.68,8.74,NA
32,Delhi,343798,366628,392908,428355,475623,511765,542015,565327,586168,547682,597765,NA,6.64,7.17,9.02,11.03,7.60,5.91,4.30,3.69,-6.57,9.14,NA
33,Jammu & Kashmir-UT,,,,,,,,,113943,112628,121546,131294,,,,,,,,,-1.15,7.92,8.02
34,Puducherry,16818,17310,19170,18207,19060,20474,22318,25984,26383,25726,27011,NA,2.93,10.74,-5.03,4.69,7.42,9.00,16.43,1.54,-2.49,4.99,NA
,,,,,,,,,,,,,,,,,,,,,,,,
,Source:  Directorate of Economics & Statistics of respective State Governments,,,,,,,,,,,,,,,,,,,,,,,
,* relates to Jammu and Kashmir and Ladakh,,,,,,,,,,,,,,,,,,,,,,,
